State,Elephants in 1993,Elephants in 1997,Elephants in 2002,Elephants in 2007,Elephants in 2012,Elephants in 2017
Arunachal Pradesh,2102,1800,1607,1690,890,1614
Assam,5524,5312,5246,5281,5620,5719
Meghalaya,2872,1840,1868,1811,1811,1754
Nagaland,178,158,145,152,212,446
Mizoram,15,22,33,12,12,7
Manipur,50,30,12,12,12,9
Tripura,100,70,40,59,59,102
West Bengal ,200,276,338,350,647,682
Jharkhand,550,618,772,624,688,679
Odisha,1750,1800,1841,1862,1930,1976
Chhattisgarh,82,89,102,122,247,247
Bihar ,0,0,0,10,10,25
Madhya Pradesh,0,0,0,7,7,7
Uttarakhand ,828,1130,1582,1346,1346,1839
Uttar Pradesh,47,70,85,380,291,232
Haryana,0,0,0,0,7,7
Himachal Pradesh,0,0,0,0,5,7
Tamil Nadu,2307,2971,3052,3867,4015,2761
Karnataka,5500,6088,5838,4035,5678,6049
Kerala,3500,3600,3850,6068,6133,5706
Andhra Pradesh,46,57,74,28,41,65
Maharashtra,2,4,3,7,4,6
Andaman & Nicobar Islands ,0,0,2,9,13,25
